responsavel;ano;bensMovimentados
JBS;2019;  6
JCAL;2019;  1
JCSG;2018;  1
JGM;2018; 38
JLB;2018; 60
JLB;2019;  5
JLB;2020;  1
JLMJ;2019;  1
JLMJ;2020;  1
JLPC;2020;  1
JLRP;2018; 37
JLRP;2019; 11
JLRP;2020;  1
JLSA;2020;  3
JNS;2018; 60
JPAG;2018; 28
JPAG;2019;  1
JPRS;2019;  1
JR;2018;  1
JR;2019;  1
JRAJ;2017;  4
JRAJ;2018; 12
JRAJ;2019;  1
JRAO;2017;  2
JRSR;2018; 13
JRSR;2019;  5
JSA;2020;  2
JSG;2019;  1
JSG;2020; 27
JSGM;2018;  2
JSN;2018;  1
JSN;2019;  2
JTMS;2019;  6
JVSPM;2018; 49
JVSPM;2019; 12
KAS;2018;  4
KCB;2019;267
KF;2018;  8
KF;2019;  1
KVCF;2018;  7
LAAL;2019; 62
LAB;2018;  1
LAO;2018;  1
LAO;2020;  1
LAS;2019; 37
LAS;2020;  1
LBR;2018;  3
LBR;2019;  5
LCBL;2018; 44
LCBL;2019; 10
LCCS;2017; 27
LCCS;2018;261
LCCS;2019;995
LCCS;2020;182
LD;2018;  1
LEGB;2017; 72
LEGB;2018;  4
LEGB;2019; 32
LEGB;2020;  1
LFRT;2019;  1
LFS;2018; 28
LFS;2019; 12
LGSRB;2018; 13
LGSRB;2019; 12
LL;2017; 34
LL;2018; 41
LL;2019; 23
LMA;2018; 50
LMA;2019;  4
LMI;2018;  1
LMI;2019;  1
LMI;2020; 25
LML;2018; 40
LML;2019;  4
LMV;2018;  1
LRBL;2019; 27
LRCM;2017; 16
LRCM;2018;  4
LRCM;2019; 16
LRCM;2020;  1
LSF;2017;  2
LSF;2018; 10
LSF;2019; 20
LSF;2020;  1
LSZ;2018;  7
LSZ;2019; 28
MAB;2017; 35
MAB;2018; 70
MAB;2019;110
MAB;2020;  2
MACA;2018;  5
MACA;2019; 35
MACA;2020;  1
MACGV;2019;  1
MACS;2019;  3
MAG;2018;  1
MAG;2019; 40
MAG;2020;  1
MALA;2019;  2
MAM;2018; 21
MAM;2019;  9
MAO;2019;219
MAPE;2017;  1
MAPE;2018;  3
MAPE;2019;  1
MAR;2019;  1
Marcio Guillardi da Silva;2018;  4
Marcio Guillardi da Silva;2019; 11
MBGB;2017;  1
MBGB;2018;  3
MBGB;2019;  1
MCA;2018;  4
MCA;2019; 38
MCB;2019;  3
MCM;2017; 96
MCM;2018;183
MCM;2019;317
MCM;2020;  1
MCSNC;2019;  4
MFB;2019; 28
MFB;2020;  1
MGA;2018;  3
MGA;2019;  5
MGMS;2019;  1
MGMS;2020;  1
MGS;2019;  1
MGS;2020;  3
MIB;2019;  3
MIFT;2019;  4
MJDF;2017;  1
MJSN;2018;  1
MJSN;2020;  1
MKS;2017;  2
MKS;2018; 13
MKS;2019; 10
MLA;2019;  2
MM;2017;  2
MM;2018;  8
MM;2019; 42
MMLS;2018;  3
MMLS;2019;  1
MMM;2018; 73
MMPG;2018; 95
MMPG;2019;  7
MMPG;2020;  2
MMS;2018; 38
MMS;2019;  3
MOS;2019;  1
MPM;2019; 15
MPSL;2017; 78
MPSL;2018; 21
MPSL;2019; 15
MRGB;2018;  1
MRN;2017;  1
MRN;2018; 12
MRN;2019;  9
MSBA;2019; 84
MSP;2018; 45
MSP;2019;  4
MSS;2019;  1
NAG;2017;  4
NAG;2018;  8
NCCP;2018; 10
NCCP;2019;144
NLMSB;2019;  1
NMB;2017;  2
NMB;2018;  1
NMB;2019; 48
NMB;2020;122
NML;2019; 11
NRF;2018;  7
NRF;2019; 31
NRLA;2019; 48
OCG;2018; 50
OCG;2019; 10
OCG;2020;  4
OMDB;2018; 39
OMDB;2019; 11
ONLFSM;2018; 40
ONLFSM;2019; 15
ONLFSM;2020;  8
ORSA;2017;  2
ORSA;2018; 44
ORSA;2019;  1
PALC;2018; 11
PALC;2020; 16
PBFS;2018;  1
PCEG;2017; 75
PCEG;2018; 14
PCEG;2019; 28
PFCF;2019;  2
PHFM;2018;  1
PHP;2018;  1
PJS;2018;  1
PJS;2020;  1
PLGSS;2018; 36
PLGSS;2019; 35
PLS;2017;  4
PLS;2018;  7
PLS;2019;  1
PLSC;2019;  1
PNT;2018;  5
PNT;2019;  3
PR;2017; 25
PR;2018;  8
PR;2019; 46
PRB;2018;  2
PRB;2019;  4
PRL;2018;  2
RAAF;2018;133
RAB;2018;  1
RAB;2020;  1
RANB;2018; 56
RANB;2019;  5
RAS;2019;  2
RCF;2017;  1
RCF;2018; 28
RCF;2019; 12
RDM;2018;  1
RFF;2018; 66
RFJ;2017;173
RFJ;2018;197
RFJ;2019; 16
RFM;2019; 44
RJMBP;2018; 49
RJMBP;2019;  4
RJS;2017;  1
RJS;2018;  3
ROS;2017;  1
RRFF;2018;  2
RRFF;2020;  1
RRL;2017; 30
RRL;2018;  2
RRL;2019; 83
RRMF;2019;  2
RRS;2017;  7
RRS;2018;  7
RRS;2019;  1
RS;2019;  2
RSJS;2017;  2
RSJS;2018; 40
RSJS;2019; 16
RSL;2018;  1
RTS;2018;  2
RTS;2019;  4
RVGB;2019;  7
RVGB;2020;132
RVL;2018;140
RVL;2019;  4
RVS;2018;  3
RVS;2019;  1
SAA;2017;  2
SAA;2018; 14
SAA;2019; 29
SAA;2020;  3
SBAR;2020;  1
SCMC;2017;  1
SCMC;2018;  2
SCMC;2019;  8
SFF;2019;  4
SFPS;2017;  2
SFPS;2018; 93
SFPS;2019; 35
SGA;2019;  4
SLP;2019;  3
SLS;2018;  1
SLS;2019;  1
SLS;2020;  1
SML;2018; 10
SMMJ;2019;  1
SMSF;2020; 44
SOCL;2018; 36
SPAF;2018;  5
SPAF;2019;  7
SQB;2019;  3
SRG;2018;  1
SRG;2019;  1
SS;2019;  1
SSC;2018;  5
SSC;2019; 20
SSL;2019;  1
SSNM;2017; 11
SSNM;2018;  6
SSNM;2019; 41
SSO;2018;  5
SSO;2019;  2
STSM;2018;  2
SVA;2019;  1
SVC;2019;  1
TBS;2018; 62
TBS;2019;  7
TCAA;2017;  2
TCAA;2018;  7
TCAA;2019;  9
TCAS;2018;  1
TCAS;2019; 29
TJNN;2018;  1
TJNN;2019;  1
TMFB;2019;  3
TNRCL;2019;  1
VCAF;2017;  1
VCAF;2018; 20
VCAF;2019; 83
VDG;2018;  2
VDG;2019;  3
VFG;2017;  1
VFG;2018; 18
VFG;2019; 10
VFG;2020;  1
VGRM;2017; 53
VGRM;2018; 16
VGRM;2019; 32
VGRM;2020; 25
VLP;2019;  1
VPC;2018; 14
VPC;2019; 35
VRDPR;2018;  7
VRDPR;2019;  1
VRRLR;2018;  4
VRRLR;2019;  1
VSS;2019;  1
WGS;2019; 74
WGS;2020;  5
WSB;2018; 27
WSB;2019;  1
WSB;2020;  1
WSF;2018;  7
WSF;2019;  7
WTE;2018;  7
WTE;2019; 15
WTE;2020;  8
WVS;2017; 10
WVS;2018;  2
YCOD;2017;  3
YCOD;2018;  9
YCOD;2019; 38
ZLBC;2018;  2
ZNM;2018;  1
ZNM;2019; 10
ZOAL;2017;  2
ZOAL;2018;  2
ZOAL;2019;  1
