id;descricao;estado;vidaUtil;valorResidual;valorAtual;depreciacao;depreAcumulada;valorAtual
4089;ESCADA EM AÇO COM 02 DEGRAUS;Bom;0;0;5,5;0;0;5,5
4186;FURADEIRA PORTÁTIL;Bom;0;0;0,01;0;0;0,01
4191;PRANCHETA EM MADEIRA;Bom;0;0;0,3;0;0;0,3
4419;CARRINHO DE PROCESSOS;Bom;0;2,88;28,81;0;0;28,81
4425;CARRINHO DE PROCESSOS;Bom;0;3,23;22,49;0;0;22,49
4514;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO;Bom;0;0,04;0,44;0;0;0,44
4616;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;0,01;0;0;0,01
4617;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;0;0,01;0;0;0,01
4623;ESTANTE EM AÇO 06 PRATELEIRAS;Bom;0;0;0,01;0;0;0,01
4705;PEDESTAL DE MESA PARA MICROFONE;Bom;0;3,3;33,04;0;0;33,04
4820;SOFÁ EM COURO PARA 03 LUGARES;Bom;0;56,8;56,8;0;0;56,8
4821;SOFÁ EM COURO PARA 03 LUGARES;Bom;0;56,8;568;0;0;568
4822;SOFÁ EM COURO PARA 02 LUGARES;Bom;0;42,4;42,4;0;0;42,4
4823;POLTRONA PARA CONJUNTO ESTOFADO EM COURO;Bom;0;27,8;27,8;0;0;27,8
4824;POLTRONA PARA CONJUNTO ESTOFADO EM COURO;Bom;0;27,8;278;0;0;278
4853;ESCADA EM AÇO;Bom;0;2,01;60,5;0;0;60,5
4854;ESCADA EM AÇO;Bom;0;2,01;20,13;0;0;20,13
4855;ESCADA EM AÇO;Bom;0;2,01;20,13;0;0;20,13
4870;ARMARIO BAIXO EM MADEIRA 03 PORTAS;Bom;0;280;2800;0;0;2800
4871;ARMARIO BAIXO EM MADEIRA 03 PORTAS;Bom;0;280;2800;0;0;2800
4872;MESA DE CENTRO COM TAMPO EM VIDRO;Bom;0;61;610;0;0;610
4873;MESA DE CENTRO COM TAMPO EM VIDRO;Bom;0;61;610;0;0;610
4874;MESA DE CENTRO COM TAMPO EM VIDRO;Bom;0;61;610;0;0;610
4875;MESA DE CENTRO COM TAMPO EM VIDRO;Bom;0;61;61;0;0;61
4954;RELOGIO DE PAREDE;Bom;0;1,45;14,5;0;0;14,5
4980;MAQUINA EMPACOTADORA COM ARQUEADORA;Bom;0;495;4950;0;0;4950
4982;GRAMPEADOR DE MESA SEMI-INDUSTRIAL;Bom;0;6,8;68;0;0;68
4983;GRAMPEADOR DE MESA SEMI-INDUSTRIAL;Bom;0;6,8;68;0;0;68
4984;GRAMPEADOR DE MESA SEMI-INDUSTRIAL;Bom;0;6,8;68;0;0;68
5003;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;17,8;178;0;0;178
5005;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;17,8;178;0;0;178
5048;QUADRO MAGNÉTICO;Bom;0;17,8;178;0;0;178
5087;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5093;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5097;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5107;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5119;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5122;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5124;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5129;MESA PARA MICRO/TERMINAL DE COMPUTADORES;Bom;0;12,7;127;0;0;127
5165;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5169;MESA PARA IMPRESSORA;Bom;0;10,2;102;0;0;102
5317;APARELHO TELEFONICO KS COM TECLADO;Bom;0;67,2;33,6;0;0;33,6
5588;CARRINHO DE PROCESSOS;Bom;0;34,3;343;0;0;343
5636;TELA PARA PROJECAO DE MULTIMÍDIA;Bom;0;125;1250;0;0;1250
5637;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5638;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5639;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5640;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5641;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5642;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5643;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5645;APARELHO TELEFONICO KS COM TECLADO;Bom;0;144;72;0;0;72
5696;MESA DE CENTRO COM TAMPO EM VIDRO;Bom;0;89,9;899;0;0;899
5735;MASTRO PARA BANDEIRA EM MADEIRA;Bom;0;0;111;0;0;111
5742;CRUCIFIXO EM MADEIRA;Bom;0;0;122,45;0;0;122,45
5795;ARMÁRIO ALTO EM AÇO COM 02 PORTAS;Bom;0;27,3;27,3;0;0;27,3
5806;CARRINHO DE PROCESSOS;Bom;0;21,4;21,4;0;0;21,4
5893;CARRINHO COM 01 ABA;Bom;0;10,2;10,2;0;0;10,2
5929;SOFÁ EM COURVIN PARA 02 LUGARES;Bom;0;42,2;42,2;0;0;42,2
5932;FRAGMENTADORA DE PAPEL;Bom;0;191;1910;0;0;1910
5945;MESA DE USO DIVERSO EM AÇO;Bom;0;12;12;0;0;12
5975;ESCADA EM AÇO;Bom;0;3,47;3,47;0;0;3,47
5985;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5986;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5991;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5992;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5993;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5994;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5995;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5996;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5997;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
5999;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6001;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6002;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6003;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6004;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
6005;APARELHO TELEFONICO KS COM TECLADO;Bom;0;105,6;52,8;0;0;52,8
